link,job,company,salary,area,experience,education,companytype,direction
https://jobs.51job.com/nanjing-jnq/144359502.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/shanghai-jaq/144185341.html?s=sou_sou_soulb&t=0_0,主播,上海媛福达供应链管理有限公司,1-1.5万,上海-静安区,2年经验,大专,民营,快速消费品(食品、饮料、化妆品)
https://jobs.51job.com/shenzhen-luohuqu/144391540.html?s=sou_sou_soulb&t=0_0,奢侈品手表讲解主播,深圳爱尚奢品汇商贸有限公司,5-8千,深圳-罗湖区,1年经验,大专,民营,电子技术/半导体/集成电路
https://jobs.51job.com/jiamusi/144134516.html?s=sou_sou_soulb&t=0_0,游戏主播,同江市艺创文化传媒有限公司,6千-1.2万,佳木斯,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/nanjing-jnq/144359495.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/chengdu-chq/144348849.html?s=sou_sou_soulb&t=0_0,网络主播,成都仓尔文化传媒有限公司,5千-1万,成都-成华区,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/dongguan-wjq/137181995.html?s=sou_sou_soulb&t=0_0,淘宝主播,广东范迪慕体育用品有限公司,5千-1万,东莞-万江区,无需经验,无学历要求,民营,服装/纺织/皮革
https://jobs.51job.com/beijing-xcq/144214522.html?s=sou_sou_soulb&t=0_0,线上在家语音聊天主播（不露脸）,武汉瑶音文化传媒有限公司,1-1.5万,北京-西城区,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/nanjing-jnq/144359505.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/wuxi-lxq/137180487.html?s=sou_sou_soulb&t=0_0,音频主播不露脸,江苏倩影文化传媒有限公司,1-1.5万,无锡-梁溪区,无需经验,无学历要求,合资,影视/媒体/艺术/文化传播
https://jobs.51job.com/jiamusi/144134652.html?s=sou_sou_soulb&t=0_0,招线上娱乐主播 颜值主播,同江市艺创文化传媒有限公司,6千-1.2万,佳木斯,无需经验,无学历要求,民营,影视/媒体/艺术/文化传播
https://jobs.51job.com/zhanjiang/140928308.html?s=sou_sou_soulb&t=0_0,电商主播/带货主播,深圳智网酷联科技有限公司,6千-1.2万,湛江,2年经验,无学历要求,民营,互联网/电子商务
https://jobs.51job.com/nanjing-jnq/144359509.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/guangzhou-byq/139462862.html?s=sou_sou_soulb&t=0_0,网络主播,广州优脉电子商务有限公司,350元/天,广州-白云区,1年经验,大专,民营,贸易/进出口
https://jobs.51job.com/shanghai-mhq/135932516.html?s=sou_sou_soulb&t=0_0,新媒体主播,琳珑科技（上海）有限公司,8千-1万,上海-闵行区,1年经验,大专,民营,计算机硬件
https://jobs.51job.com/guangzhou-byq/131674266.html?s=sou_sou_soulb&t=0_0,网络主播（底薪高无责）,广州望立网络科技有限公司,5千-1万,广州-白云区,1年经验,无学历要求,民营,互联网/电子商务
https://jobs.51job.com/nanjing-jnq/144359570.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/shenzhen-ftq/143807861.html?s=sou_sou_soulb&t=0_0,急招抖音主播,闹闹虎（深圳）科技有限公司,2-3万,深圳-福田区,3-4年经验,大专,民营,奢侈品/收藏品/工艺品/珠宝
https://jobs.51job.com/shenzhen-lgq/138540020.html?s=sou_sou_soulb&t=0_0,B-主播,深圳市沃特沃德股份有限公司,8千-1.2万,深圳-龙岗区,无需经验,大专,民营,通信/电信/网络设备
https://jobs.51job.com/kunming/144369191.html?s=sou_sou_soulb&t=0_0,主播/主持人,云上茶驿供应链管理（云南）有限公司,1.2-2.4万,昆明,3-4年经验,高中,民营,交通/运输/物流
https://jobs.51job.com/nanjing-jnq/144359586.html?s=sou_sou_soulb&t=0_0,语音主播不露脸 弹性工作 待遇佳,南京众赢益通网络科技有限公司,8千-1万,南京-江宁区,无需经验,无学历要求,民营,计算机软件
https://jobs.51job.com/hangzhou-xsq/142176590.html?s=sou_sou_soulb&t=0_0,主播助理,杭州依舍含香生物科技有限公司,8千-1.2万,杭州-萧山区,1年经验,高中,民营,制药/生物工程
https://jobs.51job.com/dongguan-hmz/144332817.html?s=sou_sou_soulb&t=0_0,直播主播,广东喜中喜科技有限公司,8千-1.5万,东莞-洪梅镇,3-4年经验,高中,民营,计算机软件
https://jobs.51job.com/xiamen-smq/141207297.html?s=sou_sou_soulb&t=0_0,直播主播,山图酒业股份有限公司,8千-1万,厦门-思明区,1年经验,高中,民营,快速消费品(食品、饮料、化妆品)
